pair,time,open,high,low,close
EURJPY_OTC,2025-08-16 00:00,149.99845,150.00779,149.99498,150.00443
EURJPY_OTC,2025-08-16 00:01,150.00744,150.01106,150.00043,150.00766
EURJPY_OTC,2025-08-16 00:02,149.99079,150.00309,149.98968,149.9995
EURJPY_OTC,2025-08-16 00:03,149.99789,150.00158,149.9809,149.98384
EURJPY_OTC,2025-08-16 00:04,149.99755,150.00018,149.9841,149.99529
EURJPY_OTC,2025-08-16 00:05,149.99734,150.00995,149.98757,150.00907
EURJPY_OTC,2025-08-16 00:06,149.99708,150.01093,149.98477,150.00157
EURJPY_OTC,2025-08-16 00:07,150.00148,150.00558,149.993,150.00263
EURJPY_OTC,2025-08-16 00:08,150.00884,150.02738,150.00686,150.02071
EURJPY_OTC,2025-08-16 00:09,150.00264,150.01175,149.98599,150.00897
EURJPY_OTC,2025-08-16 00:10,149.99744,150.0017,149.99269,149.9966
EURJPY_OTC,2025-08-16 00:11,150.00035,150.01191,149.99297,150.00045
EURJPY_OTC,2025-08-16 00:12,150.00649,150.01053,149.99581,150.0014
EURJPY_OTC,2025-08-16 00:13,149.99178,149.99837,149.97353,149.98733
EURJPY_OTC,2025-08-16 00:14,149.99348,150.00719,149.97558,150.0066
EURJPY_OTC,2025-08-16 00:15,149.99129,149.99848,149.98029,149.99545
EURJPY_OTC,2025-08-16 00:16,150.00453,150.0047,149.99375,149.99829
EURJPY_OTC,2025-08-16 00:17,149.99984,150.00753,149.99211,150.00204
EURJPY_OTC,2025-08-16 00:18,149.99382,150.00566,149.97506,150.00265
EURJPY_OTC,2025-08-16 00:19,150.00186,150.01665,150.0005,150.01537
EURJPY_OTC,2025-08-16 00:20,149.99216,149.9941,149.99054,149.99303
EURJPY_OTC,2025-08-16 00:21,149.99,150.00579,149.98436,149.99612
EURJPY_OTC,2025-08-16 00:22,149.99833,150.0156,149.99764,150.01364
EURJPY_OTC,2025-08-16 00:23,150.00115,150.01898,149.99418,149.99526
EURJPY_OTC,2025-08-16 00:24,150.0064,150.01645,149.98799,150.00285
EURJPY_OTC,2025-08-16 00:25,150.00459,150.01072,150.00093,150.00337
EURJPY_OTC,2025-08-16 00:26,150.00855,150.02714,149.99217,149.99535
EURJPY_OTC,2025-08-16 00:27,149.99608,150.00266,149.99081,150.00016
EURJPY_OTC,2025-08-16 00:28,149.99907,150.01074,149.98836,150.00207
EURJPY_OTC,2025-08-16 00:29,149.99656,150.01008,149.99422,149.99898
EURJPY_OTC,2025-08-16 00:30,150.00796,150.0212,150.00304,150.01945
EURJPY_OTC,2025-08-16 00:31,149.99463,149.9966,149.99305,149.99428
EURJPY_OTC,2025-08-16 00:32,149.99886,150.00985,149.99689,150.00887
EURJPY_OTC,2025-08-16 00:33,149.99209,150.01137,149.97597,150.00566
EURJPY_OTC,2025-08-16 00:34,150.00426,150.0211,149.99347,150.00397
EURJPY_OTC,2025-08-16 00:35,150.00911,150.02124,150.00369,150.01982
EURJPY_OTC,2025-08-16 00:36,150.00107,150.008,149.98832,150.00728
EURJPY_OTC,2025-08-16 00:37,150.00191,150.01871,149.98608,150.0059
EURJPY_OTC,2025-08-16 00:38,149.99217,150.00885,149.98901,149.99209
EURJPY_OTC,2025-08-16 00:39,149.99228,150.01152,149.98072,150.0018
EURJPY_OTC,2025-08-16 00:40,150.00621,150.01102,149.98937,150.00084
EURJPY_OTC,2025-08-16 00:41,149.99018,150.01,149.98704,149.99578
EURJPY_OTC,2025-08-16 00:42,149.99608,150.01353,149.97849,149.98607
EURJPY_OTC,2025-08-16 00:43,150.00215,150.00798,149.98615,149.99447
EURJPY_OTC,2025-08-16 00:44,149.99107,150.01033,149.97798,149.98513
EURJPY_OTC,2025-08-16 00:45,149.99263,149.99969,149.98897,149.99211
EURJPY_OTC,2025-08-16 00:46,150.00841,150.01626,149.99325,150.00538
EURJPY_OTC,2025-08-16 00:47,149.99263,149.99891,149.9803,149.98614
EURJPY_OTC,2025-08-16 00:48,150.00137,150.01731,149.9924,150.00504
EURJPY_OTC,2025-08-16 00:49,150.00189,150.01125,149.98394,150.00081
EURJPY_OTC,2025-08-16 00:50,150.00019,150.00915,149.98659,149.99238
EURJPY_OTC,2025-08-16 00:51,150.00786,150.02154,149.99428,150.00795
EURJPY_OTC,2025-08-16 00:52,149.99523,150.00857,149.99106,149.99332
EURJPY_OTC,2025-08-16 00:53,150.00365,150.02197,149.99643,149.99863
EURJPY_OTC,2025-08-16 00:54,150.00015,150.00159,149.99221,149.99936
EURJPY_OTC,2025-08-16 00:55,149.99959,150.01607,149.99826,150.00984
EURJPY_OTC,2025-08-16 00:56,149.99753,150.01228,149.98809,149.99593
EURJPY_OTC,2025-08-16 00:57,150.00274,150.01186,149.99931,149.99946
